LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO
00,1610612739,CLE,Cleveland,42,24,6,16,5,6,1,21,13,13
00,1610612764,WAS,Washington,32,7,13,5,5,6,1,13,10,20
00,1610612738,BOS,Boston,42,6,27,5,2,4,1,16,2,19
00,1610612748,MIA,Miami,46,6,12,19,2,4,0,8,4,6
00,1610612747,LAL,Los Angeles,56,12,7,8,7,7,0,14,11,17
00,1610612742,DAL,Dallas,46,7,13,16,7,7,1,12,10,17
00,1610612761,TOR,Toronto,34,15,7,11,15,10,0,10,12,4
00,1610612754,IND,Indiana,44,20,8,5,16,11,1,19,7,17
00,1610612755,PHI,Philadelphia,26,9,21,14,3,4,1,16,9,16
00,1610612743,DEN,Denver,48,14,18,3,3,4,2,22,10,24
00,1610612745,HOU,Houston,50,13,13,11,8,4,0,20,8,17
00,1610612765,DET,Detroit,42,10,12,11,8,4,0,16,7,17
00,1610612741,CHI,Chicago,42,19,14,14,5,4,0,18,10,13
00,1610612758,SAC,Sacramento,44,10,14,4,5,4,2,21,11,25
00,1610612759,SAS,San Antonio,52,14,14,9,14,15,1,16,8,15
00,1610612740,NOH,New Orleans,46,16,19,11,13,15,2,15,4,13
00,1610612762,UTA,Utah,44,21,27,20,13,10,0,14,11,22
00,1610612742,DAL,Dallas,30,8,12,8,13,10,0,16,10,23
00,1610612744,GSW,Golden State,42,12,11,17,12,5,0,18,9,11
00,1610612756,PHX,Phoenix,40,16,11,8,12,5,0,18,11,19
00,1610612746,LAC,Los Angeles,52,10,29,12,7,10,0,22,10,26
00,1610612763,MEM,Memphis,44,15,11,6,7,10,3,21,11,29
00,1610612747,LAL,Los Angeles,44,22,6,3,13,6,1,25,7,28
00,1610612757,POR,Portland,44,18,19,19,13,6,0,12,6,18
00,1610612752,NYK,New York,40,22,10,7,14,13,0,14,10,21
00,1610612751,BKN,Brooklyn,48,17,12,7,14,13,1,13,9,14
00,1610612759,SAS,San Antonio,44,2,18,10,15,9,0,13,9,13
00,1610612760,OKC,Oklahoma City,24,13,6,8,14,8,0,18,5,18
00,1610612766,CHA,Charlotte,24,16,21,9,4,2,1,11,6,17
00,1610612754,IND,Indiana,44,13,17,9,4,2,2,19,19,18
00,1610612753,ORL,Orlando,60,16,15,23,2,3,2,13,10,16
00,1610612743,DEN,Denver,36,16,8,3,2,3,0,14,9,14
00,1610612738,BOS,Boston,36,8,17,2,2,5,0,18,5,19
00,1610612749,MIL,Milwaukee,52,13,16,22,2,5,1,19,5,13
00,1610612737,ATL,Atlanta,56,9,33,6,7,4,0,13,1,17
00,1610612745,HOU,Houston,50,15,18,16,7,4,0,21,8,21
00,1610612741,CHI,Chicago,48,2,15,31,0,0,0,17,7,16
00,1610612739,CLE,Cleveland,36,17,11,0,0,0,0,17,11,21
00,1610612752,NYK,New York,22,11,9,23,0,2,2,14,3,17
00,1610612748,MIA,Miami,36,6,10,0,0,2,0,21,5,16
00,1610612740,NOH,New Orleans,56,23,14,7,23,10,0,12,8,13
00,1610612762,UTA,Utah,36,20,16,4,23,10,1,15,11,14
00,1610612757,POR,Portland,24,12,6,5,6,4,1,12,12,10
00,1610612760,OKC,Oklahoma City,44,8,23,16,6,4,0,12,5,13
00,1610612750,MIN,Minnesota,52,17,20,18,2,0,0,11,16,13
00,1610612758,SAC,Sacramento,42,14,19,5,2,0,1,12,13,20
00,1610612756,PHX,Phoenix,48,17,3,11,9,6,2,14,15,12
00,1610612765,DET,Detroit,46,20,2,11,9,6,1,10,11,8
00,1610612746,LAC,Los Angeles,42,20,21,16,5,0,1,12,9,13
00,1610612747,LAL,Los Angeles,46,7,10,1,5,0,0,20,10,25
00,1610612763,MEM,Memphis,42,4,14,14,5,4,1,14,9,10
00,1610612744,GSW,Golden State,30,14,8,2,5,4,1,19,12,21
00,1610612764,WAS,Washington,32,5,17,2,1,1,0,15,11,13
00,1610612738,BOS,Boston,26,11,11,16,2,1,0,9,9,13
00,1610612754,IND,Indiana,46,19,12,14,4,9,3,24,10,27
00,1610612758,SAC,Sacramento,40,14,14,8,4,9,0,16,8,13
00,1610612761,TOR,Toronto,34,10,14,10,4,6,0,14,9,15
00,1610612751,BKN,Brooklyn,52,16,21,14,4,6,0,17,18,15
00,1610612748,MIA,Miami,40,6,14,6,23,9,0,8,5,6
00,1610612743,DEN,Denver,72,30,6,8,22,9,2,15,13,19
00,1610612741,CHI,Chicago,38,20,21,7,2,3,0,12,14,11
00,1610612740,NOH,New Orleans,32,13,17,10,2,3,1,17,10,17
00,1610612757,POR,Portland,38,8,9,10,5,14,0,16,9,15
00,1610612745,HOU,Houston,48,13,18,12,5,14,0,18,9,20
00,1610612739,CLE,Cleveland,40,5,22,12,12,7,1,16,10,23
00,1610612749,MIL,Milwaukee,34,4,15,13,12,7,2,17,11,15
00,1610612766,CHA,Charlotte,44,12,12,3,7,9,2,12,6,13
00,1610612742,DAL,Dallas,50,14,16,29,7,9,0,22,5,19
00,1610612759,SAS,San Antonio,44,10,8,19,0,3,0,18,8,21
00,1610612762,UTA,Utah,38,8,15,0,0,3,1,17,5,15
00,1610612744,GSW,Golden State,48,19,14,14,0,4,1,14,11,18
00,1610612746,LAC,Los Angeles,32,13,16,0,0,4,0,16,14,16
00,1610612755,PHI,Philadelphia,38,11,2,2,1,2,0,18,3,20
00,1610612752,NYK,New York,36,9,4,17,1,2,1,15,9,14
00,1610612750,MIN,Minnesota,32,12,11,4,13,4,0,24,13,32
00,1610612761,TOR,Toronto,38,21,9,20,13,4,0,11,8,14
00,1610612756,PHX,Phoenix,38,18,9,14,7,2,0,16,10,20
00,1610612753,ORL,Orlando,48,18,13,21,7,2,1,11,8,18
00,1610612737,ATL,Atlanta,42,16,7,10,8,9,1,11,6,16
00,1610612760,OKC,Oklahoma City,38,8,12,9,8,9,1,21,7,31
00,1610612747,LAL,Los Angeles,56,21,11,36,0,0,0,15,8,21
00,1610612765,DET,Detroit,34,12,12,0,0,0,1,17,13,22
00,1610612755,PHI,Philadelphia,34,21,14,10,3,3,0,13,4,15
00,1610612752,NYK,New York,30,8,13,24,3,3,0,7,4,7
00,1610612751,BKN,Brooklyn,34,10,7,22,3,7,2,15,8,22
00,1610612750,MIN,Minnesota,62,21,9,11,3,7,0,11,8,12
00,1610612748,MIA,Miami,44,9,14,30,0,0,0,15,5,15
00,1610612756,PHX,Phoenix,34,15,9,0,0,0,1,12,11,14
00,1610612763,MEM,Memphis,60,18,20,14,3,4,1,12,7,18
00,1610612762,UTA,Utah,52,15,18,12,3,4,1,15,10,13
00,1610612757,POR,Portland,40,21,2,1,4,4,0,13,5,13
00,1610612742,DAL,Dallas,54,3,24,23,4,4,0,9,6,10
00,1610612754,IND,Indiana,24,16,14,2,4,2,0,19,7,18
00,1610612759,SAS,San Antonio,52,15,9,23,4,2,0,8,3,8
00,1610612744,GSW,Golden State,36,5,19,8,6,4,0,13,12,16
00,1610612758,SAC,Sacramento,44,14,12,16,6,4,1,14,9,15
00,1610612739,CLE,Cleveland,36,16,20,13,7,3,2,19,14,20
00,1610612746,LAC,Los Angeles,48,10,17,8,7,3,0,25,2,21
00,1610612753,ORL,Orlando,30,11,9,7,14,4,1,12,7,10
00,1610612741,CHI,Chicago,34,17,9,10,14,4,0,9,12,13
00,1610612761,TOR,Toronto,34,12,19,3,2,1,0,17,9,12
00,1610612760,OKC,Oklahoma City,42,7,20,29,2,1,2,19,10,23
00,1610612743,DEN,Denver,56,26,14,17,6,7,0,15,6,14
00,1610612765,DET,Detroit,44,9,9,3,6,7,2,15,10,19
00,1610612756,PHX,Phoenix,42,18,17,16,2,2,0,12,11,16
00,1610612766,CHA,Charlotte,42,17,15,1,2,2,1,13,11,12
00,1610612764,WAS,Washington,40,13,15,7,14,13,1,20,6,25
00,1610612738,BOS,Boston,32,4,16,11,14,13,3,19,16,18
00,1610612737,ATL,Atlanta,48,18,13,11,7,10,0,17,9,26
00,1610612754,IND,Indiana,36,15,17,14,7,10,0,15,5,18
00,1610612751,BKN,Brooklyn,46,18,6,1,8,0,0,19,11,31
00,1610612748,MIA,Miami,34,4,17,30,8,0,0,12,6,12
00,1610612749,MIL,Milwaukee,38,20,20,3,6,5,0,10,9,18
00,1610612763,MEM,Memphis,46,15,20,23,6,5,0,14,8,19
00,1610612755,PHI,Philadelphia,30,12,8,23,10,5,0,15,6,10
00,1610612740,NOH,New Orleans,20,6,9,5,10,5,4,24,5,26
00,1610612743,DEN,Denver,44,17,16,15,6,3,1,22,12,23
00,1610612745,HOU,Houston,38,19,14,1,6,3,2,20,9,21
00,1610612753,ORL,Orlando,26,5,12,0,0,0,1,20,10,19
00,1610612750,MIN,Minnesota,38,13,11,27,0,0,1,20,8,14
00,1610612742,DAL,Dallas,42,22,19,16,1,1,1,12,11,8
00,1610612761,TOR,Toronto,48,9,3,2,1,1,2,10,10,2
00,1610612747,LAL,Los Angeles,36,11,7,0,0,0,1,19,18,19
00,1610612762,UTA,Utah,44,5,15,16,0,0,0,12,8,11
00,1610612765,DET,Detroit,50,12,17,5,2,6,0,17,9,19
00,1610612758,SAC,Sacramento,56,18,15,10,2,6,2,15,9,13
00,1610612759,SAS,San Antonio,32,10,18,5,1,1,0,20,12,23
00,1610612746,LAC,Los Angeles,54,6,24,28,1,1,0,15,2,17
00,1610612744,GSW,Golden State,48,11,17,17,2,3,1,17,7,16
00,1610612739,CLE,Cleveland,30,17,10,2,2,3,0,16,10,30
00,1610612760,OKC,Oklahoma City,46,6,12,7,9,9,0,22,4,19
00,1610612741,CHI,Chicago,34,20,6,8,9,9,1,21,6,20
00,1610612757,POR,Portland,30,9,7,2,4,4,0,13,10,15
00,1610612746,LAC,Los Angeles,56,11,11,25,4,4,1,14,12,16
00,1610612749,MIL,Milwaukee,44,9,24,13,9,7,0,21,10,28
00,1610612764,WAS,Washington,28,8,24,12,9,7,0,20,5,24
00,1610612751,BKN,Brooklyn,46,22,13,39,0,1,0,11,7,14
00,1610612753,ORL,Orlando,30,6,6,0,0,1,0,18,4,24
00,1610612738,BOS,Boston,38,10,9,6,3,1,0,14,15,18
00,1610612755,PHI,Philadelphia,56,12,26,16,3,1,0,16,10,19
00,1610612742,DAL,Dallas,40,13,18,9,13,7,0,20,7,20
00,1610612752,NYK,New York,40,19,14,12,13,7,0,9,12,8
00,1610612748,MIA,Miami,40,9,13,9,14,16,1,15,11,16
00,1610612737,ATL,Atlanta,26,11,19,7,14,16,0,13,9,16
00,1610612745,HOU,Houston,34,16,5,10,11,6,0,20,12,27
00,1610612763,MEM,Memphis,48,15,21,12,11,6,0,9,18,7
00,1610612740,NOH,New Orleans,46,17,12,14,4,5,0,9,10,9
00,1610612766,CHA,Charlotte,46,25,10,3,4,5,0,12,6,17
00,1610612765,DET,Detroit,50,19,17,3,5,6,0,15,11,20
00,1610612760,OKC,Oklahoma City,40,11,15,16,5,6,1,17,5,23
00,1610612754,IND,Indiana,44,15,14,3,9,13,0,13,7,17
00,1610612750,MIN,Minnesota,42,4,12,9,9,13,4,16,10,17
00,1610612739,CLE,Cleveland,40,10,12,26,3,4,1,21,8,26
00,1610612756,PHX,Phoenix,50,12,22,4,3,4,0,17,7,20
00,1610612758,SAC,Sacramento,50,9,17,5,4,3,0,11,9,21
00,1610612759,SAS,San Antonio,40,15,20,12,4,3,0,20,7,15
00,1610612743,DEN,Denver,46,18,21,22,7,9,1,12,13,20
00,1610612762,UTA,Utah,38,14,17,4,7,9,1,18,9,23
00,1610612747,LAL,Los Angeles,38,23,17,28,7,3,0,16,10,17
00,1610612744,GSW,Golden State,30,10,9,3,7,3,1,19,11,22
00,1610612761,TOR,Toronto,24,15,2,10,1,3,1,13,10,17
00,1610612755,PHI,Philadelphia,32,7,15,20,1,3,0,15,8,17
00,1610612754,IND,Indiana,30,14,7,7,15,19,1,13,9,11
00,1610612764,WAS,Washington,22,7,6,7,15,19,0,12,5,13
00,1610612742,DAL,Dallas,24,6,21,15,7,6,0,19,9,20
00,1610612766,CHA,Charlotte,52,14,25,13,7,6,1,18,13,17
00,1610612741,CHI,Chicago,32,8,12,10,9,11,0,14,8,16
00,1610612750,MIN,Minnesota,38,15,8,5,9,11,0,11,10,9
00,1610612765,DET,Detroit,28,9,9,3,3,4,2,18,7,14
00,1610612745,HOU,Houston,44,11,24,26,3,4,1,15,13,10
00,1610612738,BOS,Boston,32,10,12,7,17,16,0,14,15,17
00,1610612749,MIL,Milwaukee,48,14,15,10,17,16,0,11,8,13
00,1610612762,UTA,Utah,52,16,12,22,0,1,0,18,13,16
00,1610612756,PHX,Phoenix,36,12,10,0,0,1,0,10,5,15
00,1610612757,POR,Portland,34,19,21,14,2,7,0,15,7,24
00,1610612759,SAS,San Antonio,36,9,17,9,2,7,0,21,7,27
00,1610612743,DEN,Denver,66,17,20,11,19,13,0,15,20,18
00,1610612744,GSW,Golden State,42,14,15,5,18,13,0,14,14,12
00,1610612751,BKN,Brooklyn,30,15,4,20,3,0,0,15,8,20
00,1610612753,ORL,Orlando,48,8,10,2,3,0,1,12,11,13
00,1610612746,LAC,Los Angeles,50,16,17,20,20,8,2,15,7,12
00,1610612737,ATL,Atlanta,22,9,9,5,20,8,0,22,9,24
00,1610612748,MIA,Miami,42,16,23,0,0,2,1,14,19,17
00,1610612763,MEM,Memphis,40,16,16,27,0,2,1,15,8,12
00,1610612760,OKC,Oklahoma City,46,8,31,19,2,1,0,21,7,20
00,1610612739,CLE,Cleveland,30,8,18,10,2,1,3,15,8,22
00,1610612758,SAC,Sacramento,40,14,19,3,7,7,2,13,7,18
00,1610612747,LAL,Los Angeles,42,20,5,23,7,7,1,18,13,26
00,1610612761,TOR,Toronto,54,22,7,11,7,8,1,18,8,25
00,1610612762,UTA,Utah,40,13,15,7,7,8,0,18,14,15
00,1610612755,PHI,Philadelphia,24,7,24,2,5,7,0,15,7,21
00,1610612749,MIL,Milwaukee,42,8,28,16,5,7,0,23,7,29
00,1610612765,DET,Detroit,50,16,15,13,10,9,1,12,12,19
00,1610612760,OKC,Oklahoma City,42,20,21,5,10,9,0,14,15,19
00,1610612738,BOS,Boston,40,6,14,14,0,1,0,8,3,14
00,1610612741,CHI,Chicago,38,13,10,0,0,1,1,14,10,10
00,1610612745,HOU,Houston,42,14,14,8,3,2,0,11,8,15
00,1610612748,MIA,Miami,40,28,15,17,4,2,0,11,10,15
