GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
2012-10-30T00:00:00,1,0021200001,3,Final,20121030/WASCLE,1610612739,1610612764,2012,4, ,,Q4   - ,1
2012-10-30T00:00:00,2,0021200002,3,Final,20121030/BOSMIA,1610612748,1610612738,2012,4, ,TNT,Q4   - TNT,1
2012-10-30T00:00:00,3,0021200003,3,Final,20121030/DALLAL,1610612747,1610612742,2012,4, ,TNT,Q4   - TNT,1
2012-10-31T00:00:00,1,0021200004,3,Final,20121031/INDTOR,1610612761,1610612754,2012,4, ,,Q4   - ,1
2012-10-31T00:00:00,2,0021200005,3,Final,20121031/DENPHI,1610612755,1610612743,2012,4, ,,Q4   - ,1
2012-10-31T00:00:00,3,0021200006,3,Final,20121031/HOUDET,1610612765,1610612745,2012,4, ,,Q4   - ,1
2012-10-31T00:00:00,4,0021200007,3,Final,20121031/SACCHI,1610612741,1610612758,2012,4, ,,Q4   - ,1
2012-10-31T00:00:00,5,0021200008,3,Final,20121031/SASNOH,1610612740,1610612759,2012,4, ,NBA TV,Q4   - NBA TV,1
2012-10-31T00:00:00,6,0021200009,3,Final,20121031/DALUTA,1610612762,1610612742,2012,4, ,,Q4   - ,1
2012-10-31T00:00:00,7,0021200010,3,Final,20121031/GSWPHX,1610612756,1610612744,2012,4, ,,Q4   - ,1
2012-10-31T00:00:00,8,0021200011,3,Final,20121031/MEMLAC,1610612746,1610612763,2012,4, ,,Q4   - ,1
2012-10-31T00:00:00,9,0021200012,3,Final,20121031/LALPOR,1610612757,1610612747,2012,4, ,NBA TV,Q4   - NBA TV,1
2012-11-26T00:00:00,1,0021200013,3,Final,20121126/NYKBKN,1610612751,1610612752,2012,5, ,TNT,Q5   - TNT,1
2012-11-01T00:00:00,1,0021200014,3,Final,20121101/OKCSAS,1610612759,1610612760,2012,4, ,TNT,Q4   - TNT,1
2012-11-02T00:00:00,1,0021200015,3,Final,20121102/INDCHA,1610612766,1610612754,2012,4, ,,Q4   - ,1
2012-11-02T00:00:00,2,0021200016,3,Final,20121102/DENORL,1610612753,1610612743,2012,4, ,,Q4   - ,1
2012-11-02T00:00:00,3,0021200017,3,Final,20121102/MILBOS,1610612738,1610612749,2012,4, ,,Q4   - ,1
2012-11-02T00:00:00,4,0021200018,3,Final,20121102/HOUATL,1610612737,1610612745,2012,4, ,,Q4   - ,1
2012-11-02T00:00:00,5,0021200019,3,Final,20121102/CHICLE,1610612739,1610612741,2012,4, ,,Q4   - ,1
