GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021200001,1610612764,Wizards,WAS,Washington,240:00,89.6,91.3,102.5,101.1,-13.0,-9.8,0.813,2.0,18.9,0.339,0.545,0.425,13.859,14.1,0.4,0.425,1.0,0.199,92.74,92.5,77.08,92,0.425
0021200001,1610612739,Cavaliers,CLE,Cleveland,240:00,102.5,101.1,89.6,91.3,13.0,9.8,0.611,1.05,16.7,0.455,0.661,0.575,22.906,22.6,0.5,0.53,1.0,0.199,92.74,92.5,77.08,93,0.575
0021200002,1610612748,Heat,MIA,Miami,240:00,124.9,122.4,111.1,110.3,13.8,12.1,0.581,3.13,19.8,,,,8.326,8.2,0.595,0.645,1.0,0.198,96.2,97.5,81.25,98,0.56
0021200002,1610612738,Celtics,BOS,Boston,240:00,111.1,110.3,124.9,122.4,-13.8,-12.1,0.615,1.5,18.9,,,,16.611,16.5,0.56,0.613,1.0,0.197,96.2,97.5,81.25,97,0.44
0021200003,1610612747,Lakers,LAL,Los Angeles,240:00,101.5,102.2,103.2,110.0,-1.7,-7.8,0.632,1.71,18.7,0.347,,,15.618,15.7,0.513,0.502,1.0,0.201,92.78,89.5,74.58,89,0.457
0021200003,1610612742,Mavericks,DAL,Dallas,240:00,103.2,110.0,101.5,102.2,1.7,7.8,0.55,1.83,17.3,,0.653,,12.51,13.3,0.5,0.533,1.0,0.194,92.78,89.5,74.58,90,0.543
0021200004,1610612761,Raptors,TOR,Toronto,240:00,93.3,96.7,94.7,98.9,-1.4,-2.2,0.545,1.8,14.1,,0.682,,10.598,11.0,0.396,0.443,1.0,0.201,94.7,91.0,75.83,91,0.456
0021200004,1610612754,Pacers,IND,Indiana,240:00,94.7,98.9,93.3,96.7,1.4,2.2,0.595,1.16,17.5,0.318,,,19.992,20.9,0.506,0.529,1.0,0.196,94.7,91.0,75.83,91,0.544
0021200005,1610612755,76ers,PHI,Philadelphia,240:00,87.3,88.4,75.9,79.8,11.4,8.6,0.6,1.13,14.0,0.298,0.627,0.466,16.625,16.8,0.394,0.446,1.0,0.196,97.54,94.5,78.75,95,0.606
0021200005,1610612743,Nuggets,DEN,Denver,240:00,75.9,79.8,87.3,88.4,-11.4,-8.6,0.576,0.86,14.2,0.373,0.702,0.534,22.258,23.4,0.398,0.404,1.0,0.197,97.54,94.5,78.75,94,0.394
0021200006,1610612745,Rockets,HOU,Houston,240:00,108.1,108.2,99.5,100.0,8.6,8.2,0.718,1.4,20.4,0.349,0.745,0.556,20.593,20.6,0.557,0.589,1.0,0.2,96.78,96.5,80.42,97,0.541
0021200006,1610612765,Pistons,DET,Detroit,240:00,99.5,100.0,108.1,108.2,-8.6,-8.2,0.6,1.31,16.5,0.255,0.651,0.444,16.591,16.7,0.481,0.531,1.0,0.201,96.78,96.5,80.42,96,0.459
