GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0021200001,1610612764,Wizards,WAS,Washington,240:00,0.4,0.222,0.139,0.29,0.5,0.278,0.229,0.455
0021200001,1610612739,Cavaliers,CLE,Cleveland,240:00,0.5,0.278,0.229,0.409,0.4,0.222,0.139,0.339
0021200002,1610612748,Heat,MIA,Miami,240:00,0.595,0.405,0.083,0.128,0.56,0.373,0.166,0.179
0021200002,1610612738,Celtics,BOS,Boston,240:00,0.56,0.373,0.166,0.179,0.595,0.405,0.083,0.128
0021200003,1610612747,Lakers,LAL,Los Angeles,240:00,0.513,0.403,0.156,0.306,0.5,0.212,0.125,0.34
0021200003,1610612742,Mavericks,DAL,Dallas,240:00,0.5,0.212,0.125,0.191,0.513,0.403,0.156,0.347
0021200004,1610612761,Raptors,TOR,Toronto,240:00,0.396,0.209,0.106,0.259,0.506,0.205,0.2,0.318
0021200004,1610612754,Pacers,IND,Indiana,240:00,0.506,0.205,0.2,0.205,0.396,0.209,0.106,0.362
0021200005,1610612755,76ers,PHI,Philadelphia,240:00,0.394,0.247,0.166,0.246,0.398,0.125,0.223,0.373
0021200005,1610612743,Nuggets,DEN,Denver,240:00,0.398,0.125,0.223,0.271,0.394,0.247,0.166,0.298
0021200006,1610612745,Rockets,HOU,Houston,240:00,0.557,0.291,0.206,0.279,0.481,0.329,0.166,0.255
0021200006,1610612765,Pistons,DET,Detroit,240:00,0.481,0.329,0.166,0.213,0.557,0.291,0.206,0.349
0021200007,1610612758,Kings,SAC,Sacramento,240:00,0.44,0.19,0.208,0.216,0.43,0.418,0.185,0.313
0021200007,1610612741,Bulls,CHI,Chicago,240:00,0.43,0.418,0.185,0.292,0.44,0.19,0.208,0.314
0021200008,1610612759,Spurs,SAS,San Antonio,240:00,0.513,0.325,0.164,0.217,0.463,0.288,0.156,0.255
0021200008,1610612740,Hornets,NOH,New Orleans,240:00,0.463,0.288,0.156,0.191,0.513,0.325,0.164,0.239
0021200009,1610612762,Jazz,UTA,Utah,240:00,0.461,0.472,0.138,0.351,0.441,0.306,0.153,0.218
0021200009,1610612742,Mavericks,DAL,Dallas,240:00,0.441,0.306,0.153,0.145,0.461,0.472,0.138,0.421
0021200010,1610612756,Suns,PHX,Phoenix,240:00,0.425,0.275,0.186,0.22,0.413,0.267,0.185,0.386
0021200010,1610612744,Warriors,GSW,Golden State,240:00,0.413,0.267,0.185,0.298,0.425,0.275,0.186,0.32
0021200011,1610612763,Grizzlies,MEM,Memphis,240:00,0.395,0.349,0.203,0.309,0.547,0.392,0.218,0.275
0021200011,1610612746,Clippers,LAC,Los Angeles,240:00,0.547,0.392,0.218,0.2,0.395,0.349,0.203,0.4
0021200012,1610612757,Trail Blazers,POR,Portland,240:00,0.56,0.337,0.123,0.227,0.556,0.444,0.26,0.45
0021200012,1610612747,Lakers,LAL,Los Angeles,240:00,0.556,0.444,0.26,0.375,0.56,0.337,0.123,0.273
0021200013,1610612752,Knicks,NYK,New York,265:00,0.424,0.282,0.151,0.309,0.456,0.209,0.138,0.39
0021200013,1610612751,Nets,BKN,Brooklyn,265:00,0.456,0.209,0.138,0.305,0.424,0.282,0.151,0.364
0021200014,1610612759,Spurs,SAS,San Antonio,240:00,0.475,0.203,0.14,0.133,0.422,0.299,0.193,0.275
0021200014,1610612760,Thunder,OKC,Oklahoma City,240:00,0.422,0.299,0.193,0.235,0.475,0.203,0.14,0.156
0021200015,1610612754,Pacers,IND,Indiana,240:00,0.44,0.325,0.19,0.259,0.406,0.282,0.114,0.236
0021200015,1610612766,Bobcats,CHA,Charlotte,240:00,0.406,0.282,0.114,0.182,0.44,0.325,0.19,0.407
0021200016,1610612753,Magic,ORL,Orlando,240:00,0.517,0.209,0.136,0.244,0.423,0.321,0.148,0.333
